comment,label,rate,Unnamed: 3,clean_text
Áo bao đẹp ạ!!,POS,5,,áo bao đẹp
Tuyệt vời !,POS,5,,tuyệt_vời
2day ao khong giong trong.,NEG,1,,2 day ao khong_giong trong
"Mùi thơm,bôi lên da mềm da.",POS,5,,mùi thơmbôi lên da mềm da
"Vải đẹp, dày dặn.",POS,5,,vải đẹp dày dặn
"Hàng rất đẹp, rất chi là ưng ý.",POS,5,,hàng rất đẹp rất chi ưng_ý
"Chất lượng sản phẩm tốt, date dài.",POS,5,,chất_lượng sản_phẩm tốt date dài
Ăn nói và thái độ phục vụ tốt.,POS,4,,ăn_nói và thái_độ phục_vụ tốt
Đóng gói sản phẩm chắc chắn.,POS,5,,đóng_gói sản_phẩm chắc_chắn
tất sờn hết ca chưa dùng mà vay r.,NEG,2,,tất_sờn hết ca chưa dùng vay r
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
Mặc thì cũng đc.,NEU,3,,mặc cũng đc
Chất vải khỏi chê.,POS,5,,chất vải khỏi chê
Thời gian giao hàng rất nhanh.,POS,5,,thời_gian giao hàng rất nhanh
Chất lượng sản phẩm tuyệt vời.,POS,4,,chất_lượng sản_phẩm tuyệt_vời
vải hơi thô cứng Thời gian giao hàng nhanh.,POS,5,,vải hơi thô_cứng thời_gian giao hàng nhanh
Chất lượng sp chưa thật sự đẹp nhe shop!,POS,4,,chất_lượng sp chưa thật_sự đẹp_nhe shop
Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,,rất đáng tiền thời_gian giao hàng rất nhanh
Quần rất đẹp mặc vừa vặn.,POS,5,,quần rất đẹp mặc vừa vặn
Cảm giác mua hàng bị hớ thật tệ!,NEG,2,,cảm_giác mua hàng hớ thật tệ
Khi mua về nên đi sửa lại.,NEG,2,,khi mua về nên đi sửa lại
Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.,NEU,3,,với giá này sản_phẩm tạm ổn chưa đc gọi_là đẹp lắm
Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,POS,5,,rất đáng tiền thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời
Giá cả chấp nhận được.,POS,4,,giá_cả chấp_nhận được
Nchung là rất ổn ❤️.,POS,5,,nchung rất ổn
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.",POS,5,,áo quá đẹp luôn nếu không muốn nói đẹp may quá có áo mới đi làm cty mới shop còn mẫu nào trắng nữa để mình mua
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng.",POS,5,,chưa mặc nhưng thấy chất dày_dặn nhìn_chung hài_lòng
😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗.,POS,5,,chất vải đã ok hình siu_ciu luôn íshop rất nhiệt_tìnhchịu
Giao hàng nhanh.,POS,5,,giao hàng nhanh
Thấy khá okz thanks shop.,POS,4,,thấy khá okz thanks shop
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều.",POS,5,,chất_lượng sản_phẩm tuyệt_vờisẽ ủng_hộ shop nhiều
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng.",POS,4,,chất_lượng sản_phẩm tạm được vải hơi khô và mỏng
Hàng hoá lừa đảo.,NEG,1,,hàng hóa lừa_đảo
Thời gian giao hàng nhanh.,POS,4,,thời_gian giao hàng nhanh
Ảnh in đẹp.,POS,5,,ảnh in đẹp
Giá lại rẻ.,POS,5,,giá lại rẻ
